article_id,text
738457003,"Windbreaker in nylon with a detachable hood, zip and wind flap with press-studs down the front and long raglan sleeves. Welt front pockets with a press-stud, elasticated cuffs and a drawstring at the hem. Lined. | DORA wind | Jacket | Garment Upper body | Children Sizes 134-170 | Light Pink | Colour blocking"
698823002,"Mesh trainers with a padded edge and tongue, lacing at the front and a loop at the back. Mesh linings and insoles and ethylene-vinyl acetate (EVA) and rubber soles. | Ted Price Runner BG | Sneakers | Shoes | Children Accessories, Swimwear | White | Solid"
592180001,"Oversized shirt woven in a linen blend with a collar and V-neck with a pleat at the front. Dropped shoulders, long sleeves with buttons at the cuffs, a yoke with a pleat at the back and a rounded hem. Slightly longer at the back. | Kivik linen popover | Shirt | Garment Upper body | Ladieswear | White | Solid"
736769013,Vest top in cotton jersey with a print motif. | Parker tanktop | Vest top | Garment Upper body | Menswear | Black | Stripe
706268037,Fine-knit socks in a soft cotton blend with high shafts and elasticated tops. | 1pk fun/expressive | Socks | Socks & Tights | Menswear | Green | All over pattern
565963001,"Fitted top in transparent, printed, stretch mesh with a small stand-up collar, visible seams and long sleeves with thumbholes at the cuffs. | AK Kame frill tee | T-shirt | Garment Upper body | Divided | Beige | Placement print"
760796001,"Lightly padded, fleece-lined all-in-one suit with a lined hood, buttons at the top and concealed press-studs at the sides. | Max overall NB | Outdoor overall | Garment Full body | Baby Sizes 50-98 | Dark Blue | Solid"
708175002,"Brazilian briefs in microfibre and mesh with a low waist, lined gusset, wide sides and half-string back. | Lykke Brazilian Acacia Low | Underwear bottom | Underwear | Lingeries/Tights | Black | Solid"
777148004,"Slightly boxy jumper knitted in a soft, fluffy wool blend with dropped shoulders, long, wide sleeves and ribbing around the neckline, cuffs and hem. | Thomas PREMIUM | Sweater | Garment Upper body | Ladieswear | Dark Beige | Melange"
408569005,Socks in a fine knit containing glittery threads. | Lurex 2p Sock | Socks | Socks & Tights | Lingeries/Tights | Dark Red | Metallic
540739001,"Velour backpack with faux fur pompoms, a zip and handle at the top, adjustable imitation leather shoulder straps and zipped outer pocket. Lined. Size 11x24x27 cm. | Velvet pompom backpack | Bag | Accessories | Divided | Black | Solid"
592415005,"Jumper in a soft, fine-knit viscose blend with a brushed finish. Long sleeves with lace sections, and sewn-on lace appliqués at the top and on the elbows. | CSP Tatty Lace Sweater | Sweater | Garment Upper body | Divided | White | Solid"
608069047,Hipster briefs in cotton jersey with a lined gusset. | NOORA 3-p fancy hipster | Underwear bottom | Underwear | Children Sizes 134-170 | Light Green | Solid
738086001,"STUDIO COLLECTION. Wide, boxy, hooded top in printed, cotton sweatshirt fabric. Stand-up collar with a drawstring, low dropped shoulders with seams, and long, wide dolman sleeves with raw, roll edges and slits at the cuffs. Wide ribbing at the hem and slits in the sides. Longer at the back. | SC SAMUEL hoodie | Sweater | Garment Upper body | Ladieswear | Light Beige | All over pattern"
869662001,"Calf-length dress in a patterned modal and cotton weave with a V-neck and short sleeves. Gathered seam under the bust and at the back, and an asymmetric skirt. Lined. | Valencia long dress | Dress | Garment Full body | Ladieswear | Black | All over pattern"
858419001,Card holder in grained imitation leather with two compartments on each side and one compartment at the top. Height 7 cm. Width 10 cm. | W Rue card holder | Wallet | Accessories | Ladies Accessories | Pink | Solid
499004004,"Long-sleeved jumper in a soft, fine cotton knit with a rounded hem and ribbing around the neckline, cuffs and hem. Slightly longer at the back. | Alba sweater | Sweater | Garment Upper body | Children Sizes 134-170 | Grey | Melange"
751906001,"Long, flared dress in a patterned weave. Narrow cut at the top with a slim band at the neckline, an opening with a hook-and-eye fastening at the back of the neck and a seam and wide flounce at the hem. Satin lining. | Sandra Dress | Dress | Garment Full body | Ladieswear | Light Beige | All over pattern"
743641002,CONNIE CULOTTE | Trousers | Garment Lower body | Ladieswear | White | Stripe
769829002,"Calf-length dress woven in an airy viscose blend with a collar, buttons down the front, yoke at the back and chest pockets. Gently dropped shoulders, 3/4-length, wide sleeves with buttoned cuffs, an elasticated waist and gently flared skirt. Unlined. | Street Dress | Dress | Garment Full body | Ladieswear | Light Yellow | Solid"
678058001,"Loafers in imitation leather with a decorative bow and moccasin seam at the front and a decorative welt seam around the soles. Twill linings, imitation leather insoles and rubber soles. Heel approx. 2 cm. | Chubby loafer | Flat shoe | Shoes | Ladies Accessories | Black | Solid"
679633003,Long-sleeved top in soft cotton jersey with a press-stud on one shoulder. | Tobias | T-shirt | Garment Upper body | Baby Sizes 50-98 | Light Grey | Placement print
562477002,Carolyn swettisdress | Dress | Garment Full body | Children Sizes 134-170 | Light Orange | Solid
560621004,"Jacket in washed denim with a pile collar and press-studs down the front. Welt side pockets, a flap chest pocket with a press-stud, adjustable tabs with press-studs at the sides and press-studs at the cuffs. Pile lining. | Pat Pile Trucker | Jacket | Garment Upper body | Menswear | Blue | Denim"
770587002,"Short jersey top with a V-neck, short sleeves, decorative buttons and a tie detail at the front and an elasticated hem. | Bonina tee | T-shirt | Garment Upper body | Divided | Black | Solid"
505071010,"Short, wide blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, short cap sleeves and a rounded hem. Trims down the side seams and around the hem. | Zidane blouse | Shirt | Garment Upper body | Ladieswear | Light Blue | Solid"
697058002,"Blouse in an airy weave with a small stand-up collar, V-neck, button placket and chest pocket. Gathered yoke at the shoulders and back, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back. | Dottie | Blouse | Garment Upper body | Ladieswear | Light Pink | Stripe"
663519001,"Hipster briefs in cotton jersey with lace trims, a low waist, lined gusset, wide sides and cutaway coverage at the back. | Lily Hipster (Poppy) 3pk | Underwear bottom | Underwear | Lingeries/Tights | Black | Solid"
582216002,Straight-cut jersey top with short sleeves that end in flounces in woven fabric. | Fie top | T-shirt | Garment Upper body | Ladieswear | Light Blue | Solid
657291004,"Thong briefs in microfibre and mesh with a low waist, decorative straps at the top, a lined gusset, narrow sides and string back. The briefs are made partly from recycled polyamide. | Dawn magnolia thong | Underwear bottom | Underwear | Lingeries/Tights | Dark Pink | Solid"
651697003,"Off-the-shoulder blouse in woven fabric with an elasticated top with a small frill trim, narrow tie-top shoulder straps and short, wide sleeves. | Godis | Blouse | Garment Upper body | Ladieswear | White | All over pattern"
748566027,"High-waisted, ankle-length sports tights in fast-drying functional fabric. Wide panel to hold in and shape the waist containing a concealed key pocket. Sculpting seams at the back that showcase the body’s physique. | SARGASSO HW ankle tights | Leggings/Tights | Garment Lower body | Sport | Black | All over pattern"
746144009,"Jersey-lined joggers in stretch, supersoft denim with an elasticated drawstring waist, a back pocket, side pockets and tapered legs. | Jogger Lined 79 | Trousers | Garment Lower body | Children Sizes 92-140 | Blue | Denim"
838825002,"Cropped, sleeveless sports top in fast-drying functional fabric with a small stand-up collar and racer back. Integral sports bra with removable inserts that shape the bust and provide good support, and an elasticated hem. | Legend Inner bra cropped tank | Vest top | Garment Upper body | Sport | Greyish Beige | Solid"
915015001,Metal hoop earrings in various sizes. | Cool Tone hoop pk | Earring | Accessories | Ladies Accessories | Gold | Solid
794094001,"Wide, airy blouse in a patterned viscose weave with a wide collar that ties at the front, and buttons at the top. Yoke with gathers at the shoulders and back, long, wide sleeves, and cuffs with covered buttons. | Cuno | Blouse | Garment Upper body | Ladieswear | Off White | All over pattern"
581956001,T-shirts in soft cotton jersey. | SS tee Pack | T-shirt | Garment Upper body | Children Sizes 92-140 | White | All over pattern
755702002,"Baby Exclusive. Leggings in soft, lightweight wool jersey with an elasticated waist. | MERCER wool leggings | Leggings/Tights | Garment Lower body | Baby Sizes 50-98 | Dark Blue | Melange"
820944001,"KIDS EXCLUSIVE. Leggings in a soft, rib-knit organic cotton blend with covered elastication at the waist and sewn-in turn-ups at the hems. | KIDS JANOSCH knitted leggings | Leggings/Tights | Garment Lower body | Children Sizes 92-140 | Light Orange | Other structure"
639342003,"Blouse in softly draping silk with a small frilled collar with ties at the front. Opening at the top, long sleeves with narrow cuffs and a covered button, and a rounded hem. | Darling blouse | Blouse | Garment Upper body | Ladieswear | Dark Green | Solid"
585809002,"Cotton jersey T-shirt with a deep, raw-edge neckline and short sleeves with raw edges. | Rob Tee | T-shirt | Garment Upper body | Menswear | Black | Solid"
527662001,"Socks in a soft, fine, fluffy knit containing glittery threads. Elasticated at the top. | Soft Lurex 2p heavy socks | Socks | Socks & Tights | Lingeries/Tights | White | Glittering/Metallic"
707488004,"Blouse in a viscose weave with a collar and buttons down the front. Yoke with a pleat at the back, long sleeves with buttoned cuffs, and a rounded hem. | Stardust | Blouse | Garment Upper body | Ladieswear | Green | Solid"
562315001,"Fine-knit gloves with matching fingerless gloves. The gloves can be worn over each other or separately. | BB DOUBLE GLOVE OWN | Gloves | Accessories | Children Accessories, Swimwear | Greenish Khaki | Melange"
684209012,"Lined, non-wired, triangle bikini top with a wide hem. Narrow, adjustable shoulder straps that can be fastened in different ways at the back and cups with removable inserts that shape the bust and provide good support. No fasteners. | Simple as That Triangle Top | Bikini top | Swimwear | Lingeries/Tights | White | Other structure"
738612002,"Double-layered tube scarf in soft cotton jersey. | SNOOD JERSEY OWN. | Scarf | Accessories | Children Accessories, Swimwear | Dark Blue | All over pattern"
792023002,"Bikini briefs in organic cotton jersey with a mid waist, lined gusset and medium coverage at the back. | Ellen Bikini 3pk | Underwear bottom | Underwear | Lingeries/Tights | Dark Grey | Melange"
789028001,"Brazilian briefs in lace with a narrow decorative trim at the top. Mid waist, lined gusset and high cut at the back. | Piper Strappy Brazilian Anemon | Underwear bottom | Underwear | Lingeries/Tights | Black | Solid"
571487002,"Lace bra with underwired, lightly padded cups that shape the bust and provide good support. Wide, adjustable shoulder straps and a fastening at the back with three pairs of hooks and eyes. | Katinka padded BIG | Bra | Underwear | Lingeries/Tights | Light Pink | Solid"
576775012,"Linen joggers with a regular, elasticated drawstring waist, side pockets, a fake back pocket and tapered legs. | Iris Linen Pull on | Trousers | Garment Lower body | Ladieswear | Greenish Khaki | Solid"
620911001,"Short-sleeved jumper in a fine, striped knit with ribbing around the neckline, cuffs and hem. | Sela jumper | Sweater | Garment Upper body | Ladieswear | Dark Blue | Stripe"
525457001,"Top in a cotton weave with narrow, adjustable shoulder straps. Tie at the top, gathered seam at the waist, zip in the side and a flare to the hem. | FT Backstreet boys top | Vest top | Garment Upper body | Ladieswear | White | Solid"
783864001,"Short, fitted underdress in microfibre with narrow, adjustable shoulder straps and an inner top with opening cups with space for nursing pads. The dress is designed with the minimum number of seams for a more comfortable fit and increased mobility. Can be used both during pregnancy and when nursing afterwards. | Khloe seamless mama dress | Bra | Underwear | Lingeries/Tights | Black | Solid"
423900030,Jacquard-knit socks in various colours and designs. | Gullan 5-p ankle sock | Socks | Socks & Tights | Children Sizes 92-140 | Dark Red | Other pattern
817280008,"Jumper in a soft knit containing some wool with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem. | Alessandria | Sweater | Garment Upper body | Ladieswear | White | Solid"
666080003,"Lace push-up bra with underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a wide hook-and-eye fastening at the back. | Atlanta Push Lace Valencia | Bra | Underwear | Lingeries/Tights | Light Beige | Solid"
719484002,"Knee-length dress in jersey crêpe and lace with a round neckline and cap sleeves. Seam at the waist, a concealed zip at the back, and a gently flared skirt. | Miranda dress | Dress | Garment Full body | Ladieswear | Light Pink | Lace"
697089002,Short-sleeved top in soft cotton jersey with a reversible sequin motif on the front (normal sequins in size 2-3Y). Rounded and slightly longer at the back. | Joline Top | Top | Garment Upper body | Children Sizes 92-140 | Light Turquoise | Sequin
533403001,"Lightly padded, thermal gilet with a lined hood, zip down the front, side pockets and a zipped chest pocket. Lined. | Coyote | Jacket | Garment Upper body | Sport | Black | Solid"
677787001,Hat in a soft cable knit with a rib-knit fold-up hem. | Kaj Cabel Beanie | Hat/beanie | Accessories | Menswear | Black | Melange
607670005,"Straight-cut, off-the-shoulder blouse in an airy cotton weave with elastication at the shoulders, buttons at the front and 3/4-length balloon sleeves with cuffs. | Cherie | Blouse | Garment Upper body | Ladieswear | Dark Green | Solid"
597409001,"5-pocket, ankle-length trousers in imitation leather with an extended waistband and concealed button. Side pockets, welt back pockets with a button, zip fly and concealed hooks and eyes. Straight legs in a slightly looser fit with seams at the knees. | Banana | Trousers | Garment Lower body | Ladieswear | Greenish Khaki | Solid"
805144002,"Short-sleeved shirt in a patterned viscose weave with a resort collar, French front and short slits in the sides. | Keith resort | Shirt | Garment Upper body | Menswear | Beige | Stripe"
810169020,"Jeans in washed, stretch denim with fake front pockets, real back pockets and super-skinny legs. Wide jersey panel at the waist for best fit over the tummy. | Superskinny (D) | Trousers | Garment Lower body | Ladieswear | Dark Blue | Denim"
834603003,Hair elastics with bows and shiny plastic beads at the ends. No metal clips. | 2p Bonnie hair elastic | Hair string | Accessories | Ladies Accessories | Light Pink | Solid
679525002,Top in block-coloured sweatshirt fabric with a lined drawstring hood with a wrapover front. Kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside. | Aston color block hood | Hoodie | Garment Upper body | Menswear | Black | Colour blocking
564314030,"Trunks in stretch cotton jersey with flatlock seams, an elasticated waist, lined front and short legs. | Robin 3pk Fancy | Underwear bottom | Underwear | Menswear | Orange | All over pattern"
678792003,"Tunic in woven fabric with a collar, buttons down the front, side pockets and a belt. Long sleeves with a tab and button, and a rounded hem. Slightly longer at the back. | Cleopatra tunic | Shirt | Garment Upper body | Children Sizes 134-170 | Black | Solid"
559854004,"Double-layered hat in a soft, fine knit with an embroidered motif on the turned-up hem. | Rodnay fancy/fun | Hat/beanie | Accessories | Divided | Pink | Embroidery"
901678001,"Chelsea boots in imitation leather with a soft, stretchy shaft and loop at the back. Jersey linings, imitation leather insoles and chunky soles. Heel 5 cm. | Allende chelsea boot | Boots | Shoes | Ladies Accessories | Dark Beige | Solid"
766191001,"Baby Exclusive. Dungarees in soft, organic cotton corduroy with buttons at the sides and straps with adjustable buttoning at the front. Elastication at the back of the waist, and elasticated hems. Concealed press-studs at the crotch and down the legs (except in sizes 1½-4Y). Lined at the top. | KOTTE cord romper LL | Jumpsuit/Playsuit | Garment Full body | Baby Sizes 50-98 | Dark Beige | Solid"
624065001,"Cardigan in a soft knit containing some wool with gently dropped shoulders and long sleeves. Front pockets, ribbing at the cuffs and hem and no buttons. | HIROKO cardigan | Cardigan | Garment Upper body | Children Sizes 134-170 | Light Grey | Solid"
815238002,"Knee-length dress in soft jersey with a wrapover top that has a practical inner top for easier nursing access. Long sleeves, and elasticated seam at the waist and a skirt with a sewn-in wrapover. Unlined. | Martina dress | Dress | Garment Full body | Ladieswear | Black | Solid"
791492010,T-shirt in soft jersey with a reversible sequin motif on the front and narrow ribbing around the neckline. | SEQUINS tee TP | T-shirt | Garment Upper body | Children Sizes 92-140 | White | Sequin
792018001,"Ankle-length dress in a cotton weave with lace details, a V-neck, narrow adjustable shoulder straps and a concealed zip at the back. Seam under the bust with pleats and a lace trim, and a seam at the hem with a lace trim and wide, pleated flounce. Lined at the top and with a short underskirt. | LOGG Bayonne petite | Dress | Garment Full body | Ladieswear | Light Blue | Solid"
857708001,"Vest top in soft, fast-drying mesh jersey with a racer back. | DEXTER top | T-shirt | Garment Upper body | Sport | Black | Solid"
507910021,"Fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front. Chest pocket, long sleeves with buttoned cuffs, and a gently rounded hem. | Isabella | Shirt | Garment Upper body | Ladieswear | Light Blue | All over pattern"
725038001,Baby Exclusive. T-shirt in soft organic cotton slub jersey with a button placket and short sleeves with sewn-in turn-ups. | ANTON t-shirt | T-shirt | Garment Upper body | Baby Sizes 50-98 | White | Solid
627147002,"Fully lined bikini top with hole-patterned, underwired, moulded, padded cups that lift and shape, and ties at the back of the neck. | Bling Me Up Push | Bikini top | Swimwear | Lingeries/Tights | Black | Lace"
443860040,"Fine-knit polo shirt in a silk and cotton blend with a button placket and ribbing at the collar, cuffs and hem. | Polo S/S Highline TVP | Polo shirt | Garment Upper body | Menswear | Black | Solid"
806192001,Sleeveless top in printed cotton jersey with a frill around the armholes. | Basenji tanktop | Vest top | Garment Upper body | Children Sizes 92-140 | Light Pink | Front print
863732001,"Ankle-length skirt in an airy silk and cotton blend. High, gathered waist with covered elastication and a seam lower down the skirt with narrow, gathered smocking for added volume. Unlined. | PQ PUFF CTN/SILK SKIRT | Skirt | Garment Lower body | Ladieswear | Light Beige | Solid"
669391001,"Push-up bra in microfibre and lace with underwired, moulded, padded cups for a larger bust and fuller cleavage. Narrow, adjustable shoulder straps and a narrow hook-and-eye fastening at the back. | Kaluha Push Valencia | Bra | Underwear | Lingeries/Tights | Black | Solid"
706443002,Slightly shorter top in soft cotton jersey with long sleeves and overlocked edges at the cuffs and hem. | Linda L/S | Top | Garment Upper body | Divided | White | Solid
643213001,"Cropped top in soft jersey with lace details, a V-neck and narrow, adjustable shoulder straps. | Tomat jsey strap top | Vest top | Garment Upper body | Divided | Light Pink | Solid"
734435005,"Short dress in an airy weave with an opening at the top and small, pleated stand-up collar with ties at the front. Short, pleated cap sleeves and a narrow, elasticated seam at the waist. Lined. | Saskia Dress | Dress | Garment Full body | Ladieswear | Dark Blue | Solid"
510407062,3/4-length leggings in soft organic cotton jersey with an elasticated waist. | MAXI | Leggings/Tights | Garment Lower body | Children Sizes 92-140 | White | All over pattern
919599001,"Short-sleeved boiler suit in cotton twill with notch lapels and concealed buttons down the front. Flap chest pockets, a seam at the waist with a soft tie belt, front pockets and gently tapered legs with covered elastication at the hems. | Heidi HW Woven SS Boilersuit | Dungarees | Garment Full body | Divided | Black | Solid"
796783016,"Slim-fit trousers in stretch twill. High waist with adjustable elastication (in sizes 8-12Y), a zip fly and button, back pockets and narrow hems. | SATURN highwaist trouser | Trousers | Garment Lower body | Children Sizes 134-170 | Light Green | Solid"
804292003,"Ankle-length trousers in twill made from a cotton blend. High paper bag waist with pleats and a detachable tie belt, a zip fly and buttons, diagonal side pockets with a decorative flap and button, and tapered legs. | Dollar HW Tapered | Trousers | Garment Lower body | Ladieswear | Dark Beige | Solid"
679780001,Baby Exclusive. Elastic hairbands in a soft organic cotton weave with a decorative knot detail at the front. | Grun 3-pack cord hairband | Hair/alice band | Accessories | Baby Sizes 50-98 | Dark Yellow | Solid
754362019,Headband in a soft knit containing some wool with a draped detail at the front. Width approx. 11.5 cm. | Hawlin Head Band | Hair/alice band | Accessories | Ladies Accessories | Grey | Solid
846347005,Short skirt in woven fabric with a high waist and zip at the back. | Enna mini skirt | Skirt | Garment Lower body | Ladieswear | Beige | Solid
825137001,"Jacket in cotton denim with a collar, buttons down the front and at the cuffs, flap chest pockets with a button and diagonal welt pockets at the bottom. Yoke at the top and a tab with adjustable buttoning at the sides. | SABLE denim jacket | Jacket | Garment Upper body | Menswear | Blue | Denim"
656059002,"Long-sleeved jumper in a soft, textured-knit cotton blend with ribbing around the neckline, cuffs and hem. | BYRON STRUCTURE SWEATER | Sweater | Garment Upper body | Menswear | Dark Red | Solid"
537732001,"Microfibre slip with narrow, adjustable shoulder straps. | Dita dress | Underdress | Underwear | Lingeries/Tights | Light Beige | Solid"
766777002,"Shorts in lightweight sweatshirt fabric with an elasticated, drawstring waistband, side pockets and rounded hems. Contrasting colour stripes and trims at the sides and hems. | Clara Fancy | Shorts | Garment Lower body | Children Sizes 134-170 | Light Pink | Colour blocking"
759825001,Long earrings in metal and plastic. Length 11.5 cm. | Cool Sophia Earring | Earring | Accessories | Ladies Accessories | Gold | Solid
687712001,"Jumper in a soft, fine-knit wool blend with long sleeves and ribbing around the neckline, cuffs and hem. | R-neck Siena stripe | Sweater | Garment Upper body | Menswear | Off White | Stripe"
696536004,Fine-knit trainer socks in a soft cotton blend with elasticated tops. | Shaftless solid 5p | Socks | Socks & Tights | Baby Sizes 50-98 | Dark Orange | Solid
628631004,"Single-breasted jacket in a linen weave with narrow notch lapels, a decorative buttonhole and two buttons at the front. Chest pocket, welt front pockets and two inner pockets. Decorative buttons at the cuffs and a single back vent. Partly lined. Slim Fit – a fit that tapers at the chest and waist, which combined with slightly narrower sleeves creates a fitted silhouette. | Blake Slim LInen Blz | Blazer | Garment Upper body | Menswear | Dark Grey | Melange"
