article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
696961004,696961,Adriana SET DEAL,270,Garment Set,Garment Full body,1010002,Application/3D,21,Light Yellow,3,Light,8,Yellow,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,"Set with a top and pair of shorts in soft cotton jersey. Top with appliqués on the front and flounced sleeves that continue down the sides. Shorts with a decorative bow at the front, an elasticated waist with a small frill trim at the top and diagonal side pockets."
836036002,836036,HAAKAN overall,267,Jumpsuit/Playsuit,Garment Full body,1010001,All over pattern,7,Grey,2,Medium Dusty,12,Grey,6564,Newborn,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1005,Jersey Fancy,"Short-sleeved romper suit in soft, patterned organic cotton jersey with buttons down the front and concealed press-studs at the crotch and down the legs."
640418002,640418,Wanda Dress,265,Dress,Garment Full body,1010001,All over pattern,51,Light Pink,1,Dusty Light,4,Pink,2033,Woven Tops,A,Ladieswear,1,Ladieswear,8,Mama,1010,Blouses,"Short dress in a soft jacquard weave with short flounced sleeves, a V-neck and gathers at the shoulders. Narrow elasticated seam under the bust with a frill trim and ties. Partly lined."
638705002,638705,Bosse 5p basic TVP,302,Socks,Socks & Tights,1010001,All over pattern,51,Light Pink,1,Dusty Light,4,Pink,6541,Baby Socks,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1021,Socks and Tights,Fine-knit socks in a soft cotton blend.
678345001,678345,2P SWEATPANTS FANCY,272,Trousers,Garment Lower body,1010010,Melange,12,Light Beige,1,Dusty Light,11,Beige,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,CONSCIOUS Joggers in organic cotton sweatshirt fabric with an elasticated drawstring waist and ribbed hems. Soft brushed inside.
933963001,933963,Cool Cinema earcuff pk,70,Earring,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,4344,Jewellery,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Set containing nine earrings and two ear cuffs in metal. Five pieces are decorated with glass rhinestones. Three of the earrings are hoops with small pendants. The zinc and brass content are recycled.
768205011,768205,ELLE hood (TVP),252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Top in soft sweatshirt fabric with a kangaroo pocket, jersey-lined hood with a wrapover front, and ribbing at the cuffs and hem. Soft brushed inside."
538226001,538226,Lovely skirt,275,Skirt,Garment Lower body,1010013,Other pattern,9,Black,4,Dark,5,Black,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Long skirt in jacquard-weave mesh with wide elastication at the waist. Jersey underskirt.
789247002,789247,JASON JOGGER,272,Trousers,Garment Lower body,1010010,Melange,9,Black,4,Dark,5,Black,7648,Kids Boy Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1005,Jersey Fancy,"Joggers in sturdy cotton piqué with an elasticated drawstring waist, fake fly, side pockets, a fake welt back pocket and ribbed hems."
685816037,685816,RONNY R-NECK,255,T-shirt,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,5832,Light Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,Round-necked T-shirt in soft cotton jersey.
766777012,766777,Clara Fancy,274,Shorts,Garment Lower body,1010005,Colour blocking,21,Light Yellow,3,Light,8,Yellow,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Shorts in lightweight sweatshirt fabric with an elasticated, drawstring waistband, side pockets and rounded hems. Contrasting colour stripes and trims at the sides and hems."
690964015,690964,James leggings,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,"Leggings in stretch, printed cotton jersey with an elasticated waist."
801962005,801962,Dahlia,265,Dress,Garment Full body,1010001,All over pattern,72,Blue,7,Medium,2,Blue,7613,Kids Girl Dresses,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1014,Dresses/Skirts girls,Sleeveless dress in a patterned cotton weave with a small V-neck at the back of the neck and buttons at the back. Gathered seam at the waist and a decorative bow at the front. Unlined.
719463003,719463,Hope HW tapered linen,272,Trousers,Garment Lower body,1010016,Solid,15,Greyish Beige,4,Dark,1,Mole,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,
650734010,650734,CHLOE cosmetic bag,66,Bag,Accessories,1010001,All over pattern,51,Light Pink,3,Light,4,Pink,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Make-up bag a zip at the top that continues down the short sides. Lined. Size approx. 7x11.5x18.5 cm.
690274001,690274,Pax Slipon SB,94,Sneakers,Shoes,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,4211,Kids Boy Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Slip-on, fabric trainers with elastic gores in the sides and a loop at the back. Canvas linings and insoles and thermoplastic rubber (TPR) soles."
732409003,732409,Beetle Beanie new,496,Beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Double-layered hat in a soft rib knit with a sewn-in turn-up at the hem with a small fabric appliqué on the front.
771881001,771881,Madrid Blazer,262,Jacket,Garment Upper body,1010017,Stripe,13,Beige,2,Medium Dusty,11,Beige,1244,Outdoor/Blazers,D,Divided,2,Divided,53,Divided Collection,1007,Outdoor,"Straight-cut jacket in a striped cotton weave with narrow notch lapels, jetted front pockets and long sleeves with a tab and button. No fasteners. Unlined."
633840001,633840,CS Forest,265,Dress,Garment Full body,1010017,Stripe,71,Light Blue,3,Light,2,Blue,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Short, straight-cut dress in a slub-weave modal blend with a small, frilled collar, opening with narrow ties at the top and short sleeves. Unlined."
498793005,498793,LYNN TANK,253,Vest top,Garment Upper body,1010016,Solid,20,Other Yellow,5,Bright,8,Yellow,6280,Tops Girls,S,Sport,26,Sport,49,Kids Sports,1001,Unknown,Sports top in fast-drying functional fabric with a racer back.
696356013,696356,P-CAP OWN,69,Cap/peaked,Accessories,1010014,Placement print,42,Red,5,Bright,18,Red,4212,Kids Boy Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Cap with a sweatband in a cotton weave and an adjustable plastic fastener at the back.
648995003,648995,Sorrel,265,Dress,Garment Full body,1010001,All over pattern,10,White,3,Light,9,White,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Straight-cut dress in a soft weave with a V-neck and small stand-up collar. Dropped shoulders, short sleeves with sewn-in turn-ups and a rounded hem. Slightly longer at the back. Unlined."
577805002,577805,MORLEY OXFORD SHIRT,259,Shirt,Garment Upper body,1010017,Stripe,73,Dark Blue,7,Medium,2,Blue,7657,Kids Boy Shirt,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1011,Shirts,Long-sleeved shirt in a cotton weave with a button-down collar and buttons down the front.
592098003,592098,DREAM tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,8310,Ladies Sport Bottoms,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Sports tights in fast-drying functional fabric with ventilating mesh sections and a concealed drawstring at the waist with a key pocket in the waistband.
527575005,527575,Bumbo DTP,252,Sweater,Garment Upper body,1010008,Front print,43,Dark Red,4,Dark,18,Red,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,"Cropped top in light sweatshirt fabric with a print motif. Dropped shoulders, long, wide sleeves with ribbed cuffs and raw-edge hem."
619249001,619249,Straight ankle HW Benji,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,1779,Everyday Waredrobe Denim,A,Ladieswear,1,Ladieswear,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in washed denim with hard-worn details, in  a loose fit with a high waist, zip fly and button, low crotch and straight  legs with raw-edge hems."
607541004,607541,Billie,265,Dress,Garment Full body,1010016,Solid,51,Light Pink,3,Light,4,Pink,1313,Dress,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1013,Dresses Ladies,"Short dress in woven fabric with a round neckline and opening with a button at the back of the neck. Dropped shoulders, short, double-layered flounced sleeves and a detachable tie belt at the waist. Lined."
738457003,738457,DORA wind,262,Jacket,Garment Upper body,1010005,Colour blocking,51,Light Pink,3,Light,4,Pink,8812,Young Girl Outdoor,I,Children Sizes 134-170,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,"Windbreaker in nylon with a detachable hood, zip and wind flap with press-studs down the front and long raglan sleeves. Welt front pockets with a press-stud, elasticated cuffs and a drawstring at the hem. Lined."
698823002,698823,Ted Price Runner BG,94,Sneakers,Shoes,1010016,Solid,10,White,3,Light,9,White,4321,Young Girl Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Mesh trainers with a padded edge and tongue, lacing at the front and a loop at the back. Mesh linings and insoles and ethylene-vinyl acetate (EVA) and rubber soles."
592180001,592180,Kivik linen popover,259,Shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Oversized shirt woven in a linen blend with a collar and V-neck with a pleat at the front. Dropped shoulders, long sleeves with buttons at the cuffs, a yoke with a pleat at the back and a rounded hem. Slightly longer at the back."
736769013,736769,Parker tanktop,253,Vest top,Garment Upper body,1010017,Stripe,9,Black,4,Dark,5,Black,5848,Jersey Fancy,F,Menswear,3,Menswear,21,Contemporary Casual,1005,Jersey Fancy,Vest top in cotton jersey with a print motif.
706268037,706268,1pk fun/expressive,302,Socks,Socks & Tights,1010001,All over pattern,92,Green,5,Bright,19,Green,5999,Socks Wall,F,Menswear,3,Menswear,26,Men Underwear,1021,Socks and Tights,Fine-knit socks in a soft cotton blend with high shafts and elasticated tops.
565963001,565963,AK Kame frill tee,255,T-shirt,Garment Upper body,1010014,Placement print,13,Beige,2,Medium Dusty,11,Beige,4030,AK Other,D,Divided,2,Divided,70,Divided Asia keys,1023,Special Offers,"Fitted top in transparent, printed, stretch mesh with a small stand-up collar, visible seams and long sleeves with thumbholes at the cuffs."
760796001,760796,Max overall NB,271,Outdoor overall,Garment Full body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,6564,Newborn,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1005,Jersey Fancy,"Lightly padded, fleece-lined all-in-one suit with a lined hood, buttons at the top and concealed press-studs at the sides."
708175002,708175,Lykke Brazilian Acacia Low,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Brazilian briefs in microfibre and mesh with a low waist, lined gusset, wide sides and half-string back."
777148004,777148,Thomas PREMIUM,252,Sweater,Garment Upper body,1010010,Melange,14,Dark Beige,4,Dark,11,Beige,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Slightly boxy jumper knitted in a soft, fluffy wool blend with dropped shoulders, long, wide sleeves and ribbing around the neckline, cuffs and hem."
408569005,408569,Lurex 2p Sock,302,Socks,Socks & Tights,1010011,Metallic,43,Dark Red,4,Dark,18,Red,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Socks in a fine knit containing glittery threads.
540739001,540739,Velvet pompom backpack,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Velour backpack with faux fur pompoms, a zip and handle at the top, adjustable imitation leather shoulder straps and zipped outer pocket. Lined. Size 11x24x27 cm."
592415005,592415,CSP Tatty Lace Sweater,252,Sweater,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft, fine-knit viscose blend with a brushed finish. Long sleeves with lace sections, and sewn-on lace appliqués at the top and on the elbows."
608069047,608069,NOORA 3-p fancy hipster,286,Underwear bottom,Underwear,1010016,Solid,91,Light Green,1,Dusty Light,19,Green,7932,Young Girl UW/NW,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1017,"Under-, Nightwear",Hipster briefs in cotton jersey with a lined gusset.
738086001,738086,SC SAMUEL hoodie,252,Sweater,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,2080,Studio Collection,A,Ladieswear,1,Ladieswear,82,Special Collections,1001,Unknown,"STUDIO COLLECTION. Wide, boxy, hooded top in printed, cotton sweatshirt fabric. Stand-up collar with a drawstring, low dropped shoulders with seams, and long, wide dolman sleeves with raw, roll edges and slits at the cuffs. Wide ribbing at the hem and slits in the sides. Longer at the back."
869662001,869662,Valencia long dress,265,Dress,Garment Full body,1010001,All over pattern,9,Black,4,Dark,5,Black,1310,Dress,A,Ladieswear,1,Ladieswear,6,Womens Casual,1013,Dresses Ladies,"Calf-length dress in a patterned modal and cotton weave with a V-neck and short sleeves. Gathered seam under the bust and at the back, and an asymmetric skirt. Lined."
858419001,858419,W Rue card holder,84,Wallet,Accessories,1010016,Solid,52,Pink,5,Bright,4,Pink,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Card holder in grained imitation leather with two compartments on each side and one compartment at the top. Height 7 cm. Width 10 cm.
499004004,499004,Alba sweater,252,Sweater,Garment Upper body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,8718,Young Girl Knitwear,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1003,Knitwear,"Long-sleeved jumper in a soft, fine cotton knit with a rounded hem and ribbing around the neckline, cuffs and hem. Slightly longer at the back."
751906001,751906,Sandra Dress,265,Dress,Garment Full body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1313,Dress,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1013,Dresses Ladies,"Long, flared dress in a patterned weave. Narrow cut at the top with a slim band at the neckline, an opening with a hook-and-eye fastening at the back of the neck and a seam and wide flounce at the hem. Satin lining."
743641002,743641,CONNIE CULOTTE,272,Trousers,Garment Lower body,1010017,Stripe,10,White,3,Light,9,White,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,
769829002,769829,Street Dress,265,Dress,Garment Full body,1010016,Solid,21,Light Yellow,3,Light,8,Yellow,1941,Blouse & Dress,A,Ladieswear,1,Ladieswear,18,Womens Trend,1010,Blouses,"Calf-length dress woven in an airy viscose blend with a collar, buttons down the front, yoke at the back and chest pockets. Gently dropped shoulders, 3/4-length, wide sleeves with buttoned cuffs, an elasticated waist and gently flared skirt. Unlined."
678058001,678058,Chubby loafer,144,Flat shoe,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Loafers in imitation leather with a decorative bow and moccasin seam at the front and a decorative welt seam around the soles. Twill linings, imitation leather insoles and rubber soles. Heel approx. 2 cm."
679633003,679633,Tobias,255,T-shirt,Garment Upper body,1010014,Placement print,6,Light Grey,1,Dusty Light,12,Grey,6545,Baby Boy Jersey Fancy,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1005,Jersey Fancy,Long-sleeved top in soft cotton jersey with a press-stud on one shoulder.
562477002,562477,Carolyn swettisdress,265,Dress,Garment Full body,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,
560621004,560621,Pat Pile Trucker,262,Jacket,Garment Upper body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,5952,Outdoor inactive from s1,F,Menswear,3,Menswear,21,Contemporary Casual,1007,Outdoor,"Jacket in washed denim with a pile collar and press-studs down the front. Welt side pockets, a flap chest pocket with a press-stud, adjustable tabs with press-studs at the sides and press-studs at the cuffs. Pile lining."
770587002,770587,Bonina tee,255,T-shirt,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,"Short jersey top with a V-neck, short sleeves, decorative buttons and a tie detail at the front and an elasticated hem."
505071010,505071,Zidane blouse,259,Shirt,Garment Upper body,1010016,Solid,71,Light Blue,3,Light,2,Blue,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Short, wide blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, short cap sleeves and a rounded hem. Trims down the side seams and around the hem."
697058002,697058,Dottie,258,Blouse,Garment Upper body,1010017,Stripe,51,Light Pink,3,Light,4,Pink,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in an airy weave with a small stand-up collar, V-neck, button placket and chest pocket. Gathered yoke at the shoulders and back, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
663519001,663519,Lily Hipster (Poppy) 3pk,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Hipster briefs in cotton jersey with lace trims, a low waist, lined gusset, wide sides and cutaway coverage at the back."
582216002,582216,Fie top,255,T-shirt,Garment Upper body,1010016,Solid,71,Light Blue,3,Light,2,Blue,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Straight-cut jersey top with short sleeves that end in flounces in woven fabric.
657291004,657291,Dawn magnolia thong,286,Underwear bottom,Underwear,1010016,Solid,53,Dark Pink,4,Dark,18,Red,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Thong briefs in microfibre and mesh with a low waist, decorative straps at the top, a lined gusset, narrow sides and string back. The briefs are made partly from recycled polyamide."
651697003,651697,Godis,258,Blouse,Garment Upper body,1010001,All over pattern,10,White,3,Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Off-the-shoulder blouse in woven fabric with an elasticated top with a small frill trim, narrow tie-top shoulder straps and short, wide sleeves."
748566027,748566,SARGASSO HW ankle tights,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,9,Black,4,Dark,5,Black,8310,Ladies Sport Bottoms,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"High-waisted, ankle-length sports tights in fast-drying functional fabric. Wide panel to hold in and shape the waist containing a concealed key pocket. Sculpting seams at the back that showcase the body’s physique."
746144009,746144,Jogger Lined 79,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,7956,Kids Boy Denim,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1016,Trousers Denim,"Jersey-lined joggers in stretch, supersoft denim with an elasticated drawstring waist, a back pocket, side pockets and tapered legs."
838825002,838825,Legend Inner bra cropped tank,253,Vest top,Garment Upper body,1010016,Solid,15,Greyish Beige,4,Dark,1,Mole,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Cropped, sleeveless sports top in fast-drying functional fabric with a small stand-up collar and racer back. Integral sports bra with removable inserts that shape the bust and provide good support, and an elasticated hem."
915015001,915015,Cool Tone hoop pk,70,Earring,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,4344,Jewellery,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Metal hoop earrings in various sizes.
794094001,794094,Cuno,258,Blouse,Garment Upper body,1010001,All over pattern,11,Off White,1,Dusty Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Wide, airy blouse in a patterned viscose weave with a wide collar that ties at the front, and buttons at the top. Yoke with gathers at the shoulders and back, long, wide sleeves, and cuffs with covered buttons."
581956001,581956,SS tee Pack,255,T-shirt,Garment Upper body,1010001,All over pattern,10,White,3,Light,9,White,7648,Kids Boy Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1005,Jersey Fancy,T-shirts in soft cotton jersey.
755702002,755702,MERCER wool leggings,273,Leggings/Tights,Garment Lower body,1010010,Melange,73,Dark Blue,4,Dark,2,Blue,6557,Baby Exclusive,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1006,Woven/Jersey/Knitted mix Baby,"Baby Exclusive. Leggings in soft, lightweight wool jersey with an elasticated waist."
820944001,820944,KIDS JANOSCH knitted leggings,273,Leggings/Tights,Garment Lower body,1010026,Other structure,31,Light Orange,1,Dusty Light,3,Orange,7757,Kids Girl Exclusive,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1023,Special Offers,"KIDS EXCLUSIVE. Leggings in a soft, rib-knit organic cotton blend with covered elastication at the waist and sewn-in turn-ups at the hems."
639342003,639342,Darling blouse,258,Blouse,Garment Upper body,1010016,Solid,93,Dark Green,2,Medium Dusty,19,Green,1912,Woven Premium,A,Ladieswear,1,Ladieswear,14,Womens Premium,1001,Unknown,"Blouse in softly draping silk with a small frilled collar with ties at the front. Opening at the top, long sleeves with narrow cuffs and a covered button, and a rounded hem."
585809002,585809,Rob Tee,255,T-shirt,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Cotton jersey T-shirt with a deep, raw-edge neckline and short sleeves with raw edges."
527662001,527662,Soft Lurex 2p heavy socks,302,Socks,Socks & Tights,1010009,Glittering/Metallic,10,White,3,Light,9,White,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Socks in a soft, fine, fluffy knit containing glittery threads. Elasticated at the top."
707488004,707488,Stardust,258,Blouse,Garment Upper body,1010016,Solid,92,Green,1,Dusty Light,20,Khaki green,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in a viscose weave with a collar and buttons down the front. Yoke with a pleat at the back, long sleeves with buttoned cuffs, and a rounded hem."
562315001,562315,BB DOUBLE GLOVE OWN,71,Gloves,Accessories,1010010,Melange,19,Greenish Khaki,4,Dark,20,Khaki green,4222,Young Boy Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Fine-knit gloves with matching fingerless gloves. The gloves can be worn over each other or separately.
684209012,684209,Simple as That Triangle Top,298,Bikini top,Swimwear,1010026,Other structure,10,White,3,Light,9,White,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Lined, non-wired, triangle bikini top with a wide hem. Narrow, adjustable shoulder straps that can be fastened in different ways at the back and cups with removable inserts that shape the bust and provide good support. No fasteners."
